	SBS3	SBS5	SBS40c	SBS92	SBS94
Sample86	0.17068030180128607	0.2768708829693003	0.215180184900395	0.1429220042918268	0.19434662603719183
Sample87	0.20754278685404148	0.26989500856087006	0.19175791292558753	0.18621944918762065	0.1445848424718803
Sample88	0.2634004766224043	0.16772417060572598	0.21705350477446986	0.23652793805027789	0.115293909947122
Sample89	0.26638765365079137	0.3604185172076612	0.10390538289219937	0.10361621069701549	0.16567223555233268
Sample90	0.16467935937472508	0.16749235315298183	0.18765003433511088	0.2587412382388296	0.22143701489835274
Sample91	0.19108128783878164	0.21535855190851583	0.09584750604208775	0.26517180423166453	0.23254084997895022
Sample92	0.18764038440990422	0.19075389550742886	0.17313657274838926	0.22343469843862715	0.22503444889565052
Sample93	0.267270765927156	0.0	0.2597158742319181	0.20116088260324286	0.27185247723768313
Sample94	0.18814859740485415	0.22794327303893114	0.10729890526151309	0.21264344386164324	0.2639657804330584
Sample95	0.17850583427616137	0.20266650229100844	0.16265190219573128	0.3010209666307172	0.1551547946063816
Sample96	0.28791527250527793	0.0	0.16488873118862238	0.21862705050374096	0.32856894580235874
Sample97	0.18938995420704852	0.20183064770813083	0.2346854664553868	0.20850157762174723	0.1655923540076867
Sample98	0.27678366165311574	0.20881763266968079	0.16458083903866066	0.17369084223280984	0.17612702440573288
Sample99	0.2991558103405002	0.12930432510671414	0.18696124012813253	0.20359729973264945	0.18098132469200368
Sample100	0.34054306249002225	0.15653963198905185	0.13827521887224511	0.19838915655690662	0.1662529300917741
